"","lon_grid","lat_grid","ano","mes","xco2_mean","uncertanty_mean","xco2_sd","nobs","xco2_se"
"1",-72.75,-7.75,2015,2,396.116363525391,0.513042509555817,0,2,0
"2",-72.5,-9,2015,2,396.702819824219,0.587424993515015,NA,1,NA
"3",-70.25,-11,2016,2,401.44775390625,0.518268850445747,0,10,0
"4",-69,-10.75,2016,2,397.193450927734,0.565450634275164,0,7,0
"5",-69,-10.5,2016,2,400.044982910156,0.557256020605564,0,20,0
"6",-67.25,-4.5,2015,2,399.325408935547,0.772002577781677,NA,1,NA
"7",-65.75,-3.5,2015,2,398.676116943359,0.592349946498871,0,2,0
"8",-65.25,-6.5,2015,2,399.309844970703,0.559146046638489,NA,1,NA
"9",-65,-7.75,2015,2,398.775512695312,0.595479557911555,0,12,0
"10",-65,-7.5,2015,2,398.782379150391,0.599016881906069,0,13,0
"11",-65,-7.25,2015,2,398.71435546875,0.564893454313278,0,2,0
"12",-65,-7.25,2016,2,400.417144775391,0.562090337276459,NA,1,NA
"13",-64.75,-9.25,2016,2,400.5556640625,0.399922519922256,0,2,0
"14",-64.5,-10.25,2015,2,399.117645263672,0.579763859510422,0,4,0
"15",-64.5,-3,2015,2,398.338195800781,0.505496144294739,NA,1,NA
"16",-64.25,-10.75,2015,2,399.259704589844,0.60660457611084,0,3,0
"17",-64.25,-10.5,2015,2,398.879547119141,0.63075178861618,0,3,0
"18",-64,-12.25,2015,2,400.459899902344,0.557440507411957,0,5,0
"19",-64,-12,2015,2,400.313262939453,0.563567578792572,0,2,0
"20",-64,1.75,2015,2,400.356658935547,0.565109590689341,0,3,0
"21",-62.5,-5.25,2016,2,405.349426269531,0.666830763220787,0,4,0
"22",-62.5,-5,2016,2,404.879150390625,0.479163199663162,NA,1,NA
"23",-62.25,-6.25,2016,2,397.973297119141,0.641546905040741,NA,1,NA
"24",-62.25,-6,2016,2,399.004913330078,0.639275252819061,0,9,0
"25",-62,-7,2016,2,399.416564941406,0.649021446704865,0,4,0
"26",-62,-6,2016,2,400.002288818359,0.686014533042908,NA,1,NA
"27",-61.75,-7.75,2016,2,397.963775634766,0.657500624656677,0,2,0
"28",-61.25,3.5,2015,2,398.974914550781,0.57445228099823,NA,1,NA
"29",-61.25,3.75,2015,2,396.705017089844,0.555978149175644,0,6,0
"30",-61,2.75,2015,2,396.517578125,0.55932629108429,0,3,0
"31",-61,3,2015,2,396.521270751953,0.645532056689262,0,4,0
"32",-60.5,-0.25,2015,2,396.724273681641,0.398484726746877,0,3,0
"33",-60.5,0.25,2016,2,401.820465087891,0.636421144008636,NA,1,NA
"34",-60.5,0.5,2016,2,402.346710205078,0.75443172454834,NA,1,NA
"35",-60.5,1,2016,2,400.858642578125,0.591099917888641,0,3,0
"36",-60.25,-15.25,2016,2,403.502014160156,0.581942409276962,0,2,0
"37",-60.25,-1,2015,2,397.470581054688,0.444261068105698,0,5,0
"38",-60.25,-0.75,2015,2,396.757781982422,0.402514714002609,0,5,0
"39",-60.25,-0.5,2016,2,402.014221191406,0.605227887630463,NA,1,NA
"40",-60.25,-0.25,2015,2,396.794128417969,0.402472938100497,0,6,0
"41",-60,-16.25,2016,2,400.963226318359,0.54428608417511,0,5,0
"42",-60,-1.75,2016,2,404.257843017578,0.60256761099611,0,14,0
"43",-60,-1.5,2016,2,401.380706787109,0.515716999769211,0,2,0
"44",-60,-1.25,2016,2,401.937072753906,0.565737704435984,0,3,0
"45",-60,4.25,2015,2,395.884094238281,0.545103043317795,0,4,0
"46",-59.75,-3.25,2015,2,396.354248046875,0.57084733247757,NA,1,NA
"47",-59.5,-4.25,2015,2,396.527435302734,0.467718958854675,NA,1,NA
"48",-59.25,-12.25,2016,2,398.259307861328,0.649679124355316,NA,1,NA
